"model","region","code","family","genus","species","parameter","estimate"
"DBH","CA-ON, CA-QC","ACER.SAH","Sapindaceae","Acer","saccharum","bbranches2",2.3741
"DBH","CA-ON, CA-QC","ACER.SAH","Sapindaceae","Acer","saccharum","bfoliage1",0.0393
"DBH","CA-ON, CA-QC","ACER.SAH","Sapindaceae","Acer","saccharum","bfoliage2",1.693
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK","LARI.LAR","Pinaceae","Larix","laricina","bwood1",0.0625
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK","LARI.LAR","Pinaceae","Larix","laricina","bwood2",2.4475
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK","LARI.LAR","Pinaceae","Larix","laricina","bbark1",0.0174
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK","LARI.LAR","Pinaceae","Larix","laricina","bbark2",2.1109
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK","LARI.LAR","Pinaceae","Larix","laricina","bbranches1",0.0196
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK","LARI.LAR","Pinaceae","Larix","laricina","bbranches2",2.2652
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK","LARI.LAR","Pinaceae","Larix","laricina","bfoliage1",0.0801
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK","LARI.LAR","Pinaceae","Larix","laricina","bfoliage2",1.4875
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloids","bwood1",0.0605
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloids","bwood2",0.2475
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloids","bbark1",0.0168
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloids","bbark2",0.23949
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloids","bbranches1",0.008
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloids","bbranches2",0.25214
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloids","bfoliage1",0.0261
