"genus","species","allo_var","family","a","b","cf","name","region"
"Quercus","canariensis","br","Fagaceae",-4.1867,2.58308,1.07318661017781,"Cádiz","ES-CA"
"Quercus","canariensis","bt","Fagaceae",-1.40683,2.111,1.06380421858377,"Cádiz","ES-CA"
"Quercus","canariensis","bs","Fagaceae",-0.820331,2.7342,1.04569179969677,"Cádiz","ES-CA"
"Quercus","canariensis","bblt2","Fagaceae",-3.20772,2.66513,1.17864051830828,"Cádiz","ES-CA"
"Quercus","faginea","br","Fagaceae",-3.09335,2.34356,1.05761998052575,"Guadalajara","ES-GU"
"Quercus","faginea","bs","Fagaceae",-2.88755,2.29324,1.01792488136701,"Guadalajara","ES-GU"
"Quercus","faginea","bbgt2lt7","Fagaceae",-4.05078,2.36032,1.04393037449995,"Guadalajara","ES-GU"
"Quercus","faginea","bbgt7","Fagaceae",-13.9784,2.21419,1.56001908793444,"Guadalajara","ES-GU"
"Quercus","faginea","bf","Fagaceae",-3.98028,2.96752,1.05388615933047,"Guadalajara","ES-GU"
"Quercus","faginea","bblt2","Fagaceae",-3.44735,2.96728,1.05387523360596,"Guadalajara","ES-GU"
"Quercus","faginea","bt","Fagaceae",-2.89305,2.52426,1.01458199727391,"Guadalajara","ES-GU"
"Quercus","ilex","bs","Fagaceae",-1.99607,2.01754,1.03809912844372,"Toledo","ES-TO"
"Quercus","ilex","bs","Fagaceae",-1.99607,2.01754,1.03809912844372,"Madrid","ES-M"
"Quercus","ilex","bs","Fagaceae",-1.99607,2.01754,1.03809912844372,"Cáceres","ES-CC"
"Quercus","ilex","bbgt2lt7","Fagaceae",-2.52588,2.00304,1.22702047723181,"Toledo","ES-TO"
"Quercus","ilex","bbgt2lt7","Fagaceae",-2.52588,2.00304,1.22702047723181,"Madrid","ES-M"
"Quercus","ilex","bbgt2lt7","Fagaceae",-2.52588,2.00304,1.22702047723181,"Cáceres","ES-CC"
"Quercus","ilex","br","Fagaceae",-0.730281,2.7893,1.13133085489761,"Toledo","ES-TO"
"Quercus","ilex","br","Fagaceae",-0.730281,2.7893,1.13133085489761,"Madrid","ES-M"
"Quercus","ilex","br","Fagaceae",-0.730281,2.7893,1.13133085489761,"Cáceres","ES-CC"
"Quercus","ilex","bbgt7","Fagaceae",-5.347,2.04363,1.15807858833291,"Toledo","ES-TO"
"Quercus","ilex","bbgt7","Fagaceae",-5.347,2.04363,1.15807858833291,"Madrid","ES-M"
"Quercus","ilex","bbgt7","Fagaceae",-5.347,2.04363,1.15807858833291,"Cáceres","ES-CC"
"Quercus","ilex","bf","Fagaceae",-4.13268,2.97313,1.09862040791291,"Toledo","ES-TO"
"Quercus","ilex","bf","Fagaceae",-4.13268,2.97313,1.09862040791291,"Madrid","ES-M"
"Quercus","ilex","bf","Fagaceae",-4.13268,2.97313,1.09862040791291,"Cáceres","ES-CC"
"Quercus","ilex","bblt2","Fagaceae",-2.66407,2.97498,1.09870858096544,"Toledo","ES-TO"
"Quercus","ilex","bblt2","Fagaceae",-2.66407,2.97498,1.09870858096544,"Madrid","ES-M"
"Quercus","ilex","bblt2","Fagaceae",-2.66407,2.97498,1.09870858096544,"Cáceres","ES-CC"
"Quercus","ilex","bt","Fagaceae",-2.31596,2.47745,1.03272467133533,"Toledo","ES-TO"
"Quercus","ilex","bt","Fagaceae",-2.31596,2.47745,1.03272467133533,"Madrid","ES-M"
"Quercus","ilex","bt","Fagaceae",-2.31596,2.47745,1.03272467133533,"Cáceres","ES-CC"
"Quercus","pyrenaica","bt","Fagaceae",-2.59695,2.53453,1.03105556366171,"La Rioja","ES-LO"
